FT  PID QT  WT
6.28 2 2 2.14
8.66667 7 6 1.33333
10.8533 8 8 1.42667
13 1 1 6
13 9 9 2
14.66 4 4 5.33
15 3 3 6
18 6 6 6
18 10 10 4
18.6667 12 16 1.33333
22.28 13 18 2.14
23.3333 14 18 2.66667
24.9 5 6 9.45
27.1067 16 20 3.55333
27.8533 18 25 1.42667
30.66 15 20 5.33
30.9 11 12 9.45
32.66 17 22 5.33
34 19 30 2
37.28 25 33 2.14
39 21 31 4
40 22 32 4
40.1067 24 33 3.55333
41.66 20 31 5.33
44 23 32 6
48.28 27 44 2.14
55 26 43 6
59 28 47 6
63.28 31 59 2.14
68.66 30 58 5.33
70 33 62 4
75.9 29 57 9.45
78.9 32 60 9.45
84 36 80 2
86 35 78 4
93.9 34 75 9.45

Patients: 36 [NP: 6, SP: 7, EP: 23]
Hospitals: 3
Cars: 42 [SCars: 11, NCars: 31]
